result,idxs,citations,id
Crizotinib plus vemurafenib showed rapid and marked effectiveness in treating BRAF-mutated colorectal cancer.,[4],"['functional in vitro data, the patient was treated with the dual ALK-MET inhibitor crizotinib plus vemurafenib, thus switching to dual MET and BRAF blockade, with rapid and marked effectiveness of such strategy. Although acquired resistance is a major limitation to the clinical efficacy of anticancer agents, the identification of molecular targets emerging during the first treatment may afford the']",27325282
Molecularly targeted treatment with crizotinib induced a rapid and sustained partial response.,"[3, 6]","['were found exclusively in microsatellite stable (MSS) CRCs. KRAS mutations were significantly less abundant in ROS1â\x80\x90rearranged vs ROS1 wild type cases. The index patient presented with chemotherapyâ\x80\x90refractory metastatic rightâ\x80\x90sided colon cancer harboring GOPCâ\x80\x90ROS1. Molecularly targeted treatment with crizotinib induced a rapid and sustained partial response. After 15â\x80\x89months on', 'treatment with crizotinib induced a rapid and sustained partial response. After 15â\x80\x89months on crizotinib disseminated tumor progression occurred and KRAS Q61H emerged in tissue and liquid biopsies. ROS1 rearrangements define a small, yet therapeutically actionable molecular subgroup of MSS CRC. In summary, the high prevalence of GOPCâ\x80\x90ROS1 and noncanonical ROS1 fusions pose diagnostic']",36053834
NP,[],[],36316649
"Crizotinib combined with regorafenib and tislelizumab obtained an obvious response in a CRC patient with BRAF V600E mutation, c-MET amplification, and TPM4-ALK fusion.","[6, 7, 8]","['This study reported a co-existence of a BRAF V600E mutation, c-MET amplification and TPM4-ALK fusion in a CRC patient. Administration of crizotinib combined with regorafenib and tislelizumab obtained an obvious response. Furthermore, continuous ctDNA detection appears to be a promising technique to monitor tumor burden, which may provide better clinical decision support during the disease course.', 'This study reported a co-existence of a BRAF V600E mutation, c-MET amplification and TPM4-ALK fusion in a CRC patient. Administration of crizotinib combined with regorafenib and tislelizumab obtained an obvious response. Furthermore, continuous ctDNA detection appears to be a promising technique to monitor tumor burden, which may provide better clinical decision support during the disease course.', 'In this study, we identified a rarely reported TPM4-ALK fusion co-occurring with MET amplification in a CRC patient with BRAF V600E mutation who achieved partial response (PR) after the combined therapy of programmed cell death protein 1 (PD-1) inhibitor (tislelizumab), MET/ALK inhibitor (crizotinib) plus multikinase inhibitor (regorafenib), and whose response was monitored by continuous ctDNA']",38711893
ORR was 50% with one complete response in the,"[0, 1]","['those with ALK mutation or amplifications. Results of subgroup F (cases harboring ALK fusions) of the NCI match study were recently reported as well. Two patients with colorectal cancer, one with carcinoma of unknown primary and one with leiomyosarcoma were included in this cohort and treated with crizotinib. At the time of analysis, the ORR was 50% with one complete response in the', 'those with ALK mutation or amplifications. Results of subgroup F (cases harboring ALK fusions) of the NCI match study were recently reported as well. Two patients with colorectal cancer, one with carcinoma of unknown primary and one with leiomyosarcoma were included in this cohort and treated with crizotinib. At the time of analysis, the ORR was 50% with one complete response in the']",37773318
The study assessed safety and initial efficacy of crizotinib in treating RAS mutant advanced colorectal cancer patients.,[9],['study assessed safety and initial efficacy of the MEK1/2 inhibitor binimetinib with MET inhibitor crizotinib in RASMT advanced CRC patients.'],40211189
The combination of crizotinib with MMC showed a synergistic anti-cancer effect (CI = 0.006-0.74) and reduced tumor growth (p = 0.0088) in CRC xenograft models.,"[1, 4]","['especially in MSI-H CRC. The combination of crizotinib with MMC appeared synergistic regardless of MSI or BRCA2 status. Using an in-vivo CRC xenograft model we found reduced tumor growth with combined crizotinib and MMC therapy (p = 0.0088). Our preclinical results support clinical testing of the combination of MMC and crizotinib in advanced CRC. Targeting cell survival mediated by c-MET in', 'to MMC plus crizotinib or other drug combinations including PARP-inhibitors. Combined treatment of tumor cells with crizotinib and MMC led to increased apoptosis as compared with each drug alone. Additionally, combination treatment with increasing concentrations of both drugs demonstrated a synergistic anti-cancer effect (CI = 0.006-0.74). However, we found no evidence for c-MET upregulation upon']",28886275
Crizotinib (CZB) impacts LoVo spheroids morphology.,[7],"['In this study, the LoVo colon cancer cell line forming spheroids was treated with crizotinib (CZB) an ATP-competitive small-molecule inhibitor of the receptor tyrosine kinases. This inhibitor, already been proved to impact LoVo spheroids morphology, was employed to assess the correlation between biophysical and morphological parameters in both live and fixed cells (Fig 1).\nMaterials and methods']",34101765
NP,[],[],41213063
Crizotinib showed a median PFS of 10.9 months and an ORR of 74% in treating colorectal cancer.,[2],['the median PFS (10.9 months with crizotinib vs. 7.0 months with standard chemotherapy) and increased the ORR (74% with crizotinib vs. 45% with standard chemotherapy).'],37686423
